City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,Udachnyy,66.4167,112.4,5.45,84,99,16.06,RU,2022-03-29 02:01:37
489,Sikeston,36.8767,-89.5879,51.69,49,0,8.05,US,2022-03-29 02:00:06
490,Hamilton,39.1834,-84.5333,36.73,53,100,1.01,US,2022-03-29 02:00:36
491,Linares,-35.85,-71.6,52.86,69,38,5.79,CL,2022-03-29 01:58:26
492,Harper,4.375,-7.7169,79.48,89,63,6.31,LR,2022-03-29 02:01:38
493,Soloneshnoye,51.6544,84.3197,28.06,84,100,3.74,RU,2022-03-29 02:01:39
494,Lazaro Cardenas,17.9583,-102.2,74.35,68,0,4.72,MX,2022-03-29 01:58:12
495,Teplodar,46.5059,30.3252,40.15,70,0,11.16,UA,2022-03-29 02:01:39
496,San Policarpo,12.1791,125.5072,82.85,78,11,12.66,PH,2022-03-29 02:01:40
497,Zheleznodorozhnyy,55.7503,38.0042,34.32,81,100,13.8,RU,2022-03-29 02:01:41
