,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Mount Isa,AU,-20.7333,139.5,73.17,21,83,9.22,broken clouds
199,Namibe,AO,-15.1961,12.1522,70.95,79,100,6.87,overcast clouds
200,Buraydah,SA,26.326,43.975,77.95,11,70,7.76,broken clouds
201,Anzio,IT,41.4853,12.6179,48.97,86,95,5.12,overcast clouds
202,Cine,TR,37.6117,28.0614,53.49,53,92,4.63,overcast clouds
203,Takoradi,GH,4.8845,-1.7554,82.0,85,94,11.01,overcast clouds
204,Sargatskoye,RU,55.6101,73.4972,34.74,100,100,10.45,overcast clouds
205,Lasa,IT,46.6166,10.7002,35.37,97,100,0.2,overcast clouds
206,Bukachacha,RU,52.9833,116.9167,9.72,88,42,2.3,scattered clouds
207,Bosobolo,CD,4.1833,19.9,74.52,78,77,2.57,broken clouds
208,Vereshchagino,RU,58.0789,54.6557,36.37,97,100,13.31,overcast clouds
209,Molln,DE,53.6333,10.6833,39.13,82,75,9.22,broken clouds
210,Cap Malheureux,MU,-19.9842,57.6142,78.48,82,26,8.99,scattered clouds
211,Margate,GB,51.3813,1.3862,39.87,64,78,4.0,broken clouds
212,Kodiak,US,57.79,-152.4072,36.91,81,100,9.22,light snow
213,Belaya Gora,RU,68.5333,146.4167,-9.45,100,98,0.72,overcast clouds
214,Utete,TZ,-7.986,38.758,73.56,96,7,3.06,clear sky
215,Viedma,AR,-40.8135,-62.9967,55.98,48,94,13.62,overcast clouds
216,Naze,JP,28.3667,129.4833,57.65,59,12,12.08,few clouds
217,Zaysan,KZ,47.4667,84.8667,40.87,58,2,2.93,clear sky
218,Providencia,MX,28.7167,-111.5833,83.21,49,2,13.27,clear sky
219,Katangli,RU,51.7102,143.2326,39.0,72,94,17.18,overcast clouds
220,Zastron,ZA,-30.3023,27.084,55.04,87,25,10.18,light rain
221,Ntchisi,MW,-13.5278,33.9149,59.23,96,52,1.28,light rain
222,Urumqi,CN,43.801,87.6005,50.95,37,0,8.95,clear sky
223,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,74,17,12.44,few clouds
224,Agadez,NE,19.75,10.25,85.03,5,0,5.75,clear sky
225,Borovoy,RU,55.4333,86.0833,31.28,93,100,4.47,overcast clouds
226,Ust-Kuyga,RU,70.0167,135.6,-17.57,100,99,0.34,overcast clouds
227,Batetskiy,RU,58.6461,30.3027,24.82,99,85,3.53,overcast clouds
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.42,87,9,7.99,clear sky
229,Souillac,MU,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
230,Rafaela,AR,-31.2503,-61.4867,73.98,46,3,1.01,clear sky
231,Kavieng,PG,-2.5744,150.7967,82.29,73,99,4.68,overcast clouds
232,Hearst,CA,49.6835,-83.6665,31.75,95,100,5.79,overcast clouds
233,Lata,PT,40.1629,-8.3327,41.9,49,9,6.24,clear sky
234,Tura,IN,25.5198,90.2201,68.5,97,21,6.4,few clouds
235,Samfya,ZM,-11.3649,29.5565,65.89,90,44,1.19,light rain
236,Haines Junction,CA,60.7522,-137.5108,34.05,72,100,3.06,overcast clouds
237,Nuuk,GL,64.1835,-51.7216,36.21,87,0,11.5,clear sky
238,Pasighat,IN,28.0667,95.3333,67.41,96,100,2.86,overcast clouds
239,Broome,US,42.2506,-75.833,38.62,79,100,9.22,overcast clouds
240,Boddam,GB,57.4667,-1.7833,50.43,84,100,27.04,overcast clouds
241,Resen,MK,41.0889,21.0122,37.15,85,73,5.41,broken clouds
242,Campbell River,CA,50.0163,-125.2446,48.45,72,72,2.08,broken clouds
243,Barra Patuca,HN,15.8,-84.2833,83.16,67,50,12.26,scattered clouds
244,Prabumulih,ID,-3.45,104.25,72.9,99,76,2.24,broken clouds
245,Pinotepa Nacional,MX,16.3167,-98.0167,89.2,34,17,10.58,few clouds
246,Nioro,GM,13.35,-15.75,80.02,40,76,12.53,broken clouds
247,Port Hardy,CA,50.6996,-127.4199,43.83,77,80,9.26,light rain
248,Morondava,MG,-20.2833,44.2833,80.13,70,15,10.13,few clouds
249,Shache,CN,38.4167,77.2406,56.59,22,15,3.53,few clouds
250,Shingu,JP,33.7333,135.9833,52.5,84,98,5.5,overcast clouds
251,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,47,0,17.9,clear sky
252,Mazagao,BR,-0.115,-51.2894,78.85,93,86,3.42,moderate rain
253,Yangshan,CN,28.7615,115.0287,50.13,59,85,1.9,overcast clouds
254,Coihaique,CL,-45.5752,-72.0662,51.75,58,75,4.61,broken clouds
255,Bredasdorp,ZA,-34.5322,20.0403,60.49,91,39,0.65,scattered clouds
256,Conceicao Da Barra,BR,-18.5933,-39.7322,76.3,81,0,5.53,clear sky
257,Clyde River,CA,70.4692,-68.5914,8.76,95,70,4.76,broken clouds
258,Chazuta,PE,-6.5742,-76.1367,85.05,70,84,1.66,broken clouds
259,Baykit,RU,61.67,96.37,-2.0,100,61,2.98,broken clouds
260,Zlocieniec,PL,53.5329,16.0113,34.9,79,100,9.8,light snow
261,Chuy,UY,-33.6971,-53.4616,67.01,81,96,6.22,light rain
262,Port Hueneme,US,34.1478,-119.1951,68.32,76,40,13.8,scattered clouds
263,Belokurikha,RU,51.9959,84.9896,37.08,85,58,6.82,broken clouds
264,Alakurtti,RU,66.9672,30.3491,21.02,96,99,3.76,light snow
265,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,11.5,broken clouds
266,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,85,12,14.81,few clouds
267,Tabou,CI,4.423,-7.3528,80.35,83,100,10.47,overcast clouds
268,Ilulissat,GL,69.2167,-51.1,30.22,74,18,6.91,few clouds
269,Guerrero Negro,MX,27.9769,-114.0611,65.68,53,16,16.89,few clouds
270,Vostok,RU,46.4856,135.8833,33.91,77,0,6.22,clear sky
271,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.56,74,29,9.22,scattered clouds
272,Maralal,KE,1.0968,36.698,61.72,63,85,6.87,overcast clouds
273,Nantucket,US,41.2835,-70.0995,46.51,88,100,8.05,moderate rain
274,Luancheng,CN,37.8792,114.6517,45.91,68,2,4.25,clear sky
275,Sitka,US,57.0531,-135.33,42.69,61,75,18.41,broken clouds
276,Tazovskiy,RU,67.4667,78.7,-6.97,100,79,7.83,broken clouds
277,Coahuayana,MX,18.7333,-103.6833,83.66,51,78,7.9,broken clouds
278,Petershagen,DE,52.3833,8.9667,37.71,81,40,10.36,scattered clouds
279,Chapais,CA,49.7834,-74.8492,31.93,86,100,5.28,overcast clouds
280,Bossangoa,CF,6.4926,17.4552,76.89,65,100,5.23,overcast clouds
281,Narragansett,US,41.4501,-71.4495,44.96,74,75,5.75,broken clouds
282,Estrela,BR,-28.0611,-50.9383,61.68,96,89,6.53,overcast clouds
283,Labuhan,ID,-6.8844,112.2051,76.21,87,100,6.13,overcast clouds
284,Tiarei,PF,-17.5333,-149.3333,86.0,74,38,11.97,scattered clouds
285,Kaitangata,NZ,-46.2817,169.8464,55.31,75,93,4.99,overcast clouds
286,Fairbanks,US,64.8378,-147.7164,26.24,56,0,5.75,light snow
287,Narsaq,GL,60.9167,-46.05,41.22,83,100,1.81,overcast clouds
288,Half Moon Bay,US,37.4636,-122.4286,76.41,55,0,21.85,haze
289,Barra,BR,-11.0894,-43.1417,83.03,48,79,8.03,broken clouds
290,Sao Filipe,CV,14.8961,-24.4956,71.08,73,14,8.68,few clouds
291,La Ronge,CA,55.1001,-105.2842,38.64,86,75,2.17,broken clouds
292,Mandalgovi,MN,45.7625,106.2708,37.08,40,77,10.16,broken clouds
293,Mamou,GN,10.5,-12.0,79.09,37,58,3.91,broken clouds
294,Marawi,PH,7.9986,124.2928,67.32,95,88,1.34,overcast clouds
295,Kahului,US,20.8947,-156.47,80.62,70,40,27.63,scattered clouds
296,Albion,US,42.2431,-84.753,46.44,53,100,0.0,overcast clouds
297,Wasilla,US,61.5814,-149.4394,43.36,50,0,5.75,clear sky
298,Lucea,JM,18.451,-78.1736,84.06,70,22,1.07,few clouds
299,Oxford,GB,51.7522,-1.256,42.39,78,0,9.22,clear sky
300,Ballina,AU,-28.8667,153.5667,65.01,99,100,3.29,moderate rain
301,Sorland,NO,67.667,12.6934,35.1,73,41,12.68,light snow
302,Atar,MR,20.5169,-13.0499,73.74,23,0,6.13,clear sky
303,Svetlaya,RU,46.5389,138.3297,39.96,74,0,8.95,clear sky
304,Sangar,RU,63.9242,127.4739,13.41,95,100,1.12,overcast clouds
305,Tulagi,SB,-9.0996,160.1476,82.4,74,94,12.21,overcast clouds
306,Anloga,GH,5.7947,0.8973,82.74,83,89,14.67,light rain
307,Isangel,VU,-19.55,169.2667,82.38,78,100,9.24,overcast clouds
308,Vanavara,RU,60.34,102.2797,-3.78,100,44,3.33,scattered clouds
309,Lihula,EE,58.6814,23.8453,34.84,79,54,7.72,broken clouds
310,Taltal,CL,-25.4,-70.4833,66.72,67,21,5.1,few clouds
311,Sussex,US,41.1834,-74.6663,46.49,77,75,5.01,broken clouds
312,Cherskiy,RU,68.75,161.3,-0.63,93,100,5.1,overcast clouds
313,Nanortalik,GL,60.1432,-45.2371,35.38,81,95,5.61,overcast clouds
314,Miyang,CN,24.4042,103.4428,47.53,83,4,2.06,clear sky
315,Mount Pleasant,US,32.7941,-79.8626,76.98,29,0,10.36,clear sky
316,Tessaoua,NE,13.7574,7.9874,82.9,5,81,6.93,broken clouds
317,San Cristobal,VE,7.7669,-72.225,78.98,56,46,4.36,scattered clouds
318,Port Blair,IN,11.6667,92.75,80.22,78,32,8.59,scattered clouds
319,Kloulklubed,PW,7.0419,134.2556,80.55,78,100,5.68,overcast clouds
320,Aberdeen,GB,57.1437,-2.0981,52.48,84,100,16.11,moderate rain
321,Altay,CN,47.8667,88.1167,33.82,53,1,8.68,clear sky
322,Caravelas,BR,-17.7125,-39.2481,76.71,78,0,5.5,clear sky
323,Miles City,US,46.4083,-105.8406,54.57,37,40,13.8,scattered clouds
324,Megion,RU,61.0296,76.1136,26.62,96,100,19.86,snow
325,Chokurdakh,RU,70.6333,147.9167,-14.85,99,77,3.13,broken clouds
326,Zhigansk,RU,66.7697,123.3711,0.3,96,80,9.98,broken clouds
327,Marsh Harbour,BS,26.5412,-77.0636,76.48,75,35,15.95,scattered clouds
328,Olinda,BR,-8.0089,-34.8553,82.13,74,75,9.22,broken clouds
329,Mount Gambier,AU,-37.8333,140.7667,55.44,86,30,2.42,scattered clouds
330,Yar-Sale,RU,66.8333,70.8333,10.94,90,100,13.35,overcast clouds
331,Saint-Georges,GD,12.0564,-61.7485,80.28,69,20,24.16,few clouds
332,Sovetskiy,RU,61.3614,63.5842,33.85,99,100,11.05,snow
333,Rio Piracicaba,BR,-19.9292,-43.1742,67.93,97,15,2.39,few clouds
